Garment,Split,Normalised Coverage,Max IoU,Colour
Longsleeve,Eval,0.4856223105766861,0.31800766283524906,"[194, 178, 117]"
Longsleeve,Eval,0.514079257723341,0.46153846153846156,"[255, 255, 255]"
Longsleeve,Eval,0.5357222229750501,0.5146746065504041,"[196, 179, 118]"
Longsleeve,Eval,1.0,0.9659356042930471,"[255, 255, 255]"
Longsleeve,Eval,0.9997136744802407,0.962987012987013,"[255, 255, 255]"
Longsleeve,Eval,0.9996880930944708,0.9546079779917469,"[207, 220, 218]"
Longsleeve,Eval,0.9997408267850179,0.9614814814814815,"[255, 155, 182]"
Longsleeve,Eval,0.5761337007033163,0.2360813704496788,"[44, 230, 185]"
Longsleeve,Eval,0.4126922688620895,0.402465166130761,"[109, 100, 144]"
Longsleeve,Eval,0.560859771767518,0.43810032017075773,"[164, 146, 159]"
Longsleeve,Eval,0.5893226530170576,0.5388272583201268,"[113, 103, 149]"
Longsleeve,Eval,0.4642468443564884,0.46298472385428907,"[104, 127, 61]"
Longsleeve,Eval,0.6145346836547226,0.5487493619193466,"[234, 210, 211]"
Longsleeve,Eval,0.43662390697624326,0.43273691186216034,"[188, 189, 245]"
Longsleeve,Eval,0.6772033491380439,0.5698005698005698,"[68, 140, 130]"
Longsleeve,Eval,0.8922835119418159,0.32619175147295126,"[117, 107, 154]"
Longsleeve,Eval,1.0,0.9690005344735435,"[204, 247, 212]"
Longsleeve,Eval,0.47515891915728575,0.4235474006116208,"[228, 204, 205]"
Longsleeve,Eval,0.5329286619085183,0.48092643051771117,"[62, 57, 61]"
Longsleeve,Eval,0.5327759268259508,0.43759873617693523,"[12, 41, 65]"
Longsleeve,Eval,0.8226112559680987,0.6746909564085881,"[199, 211, 209]"
Longsleeve,Eval,0.6126873221178931,0.5743685687558466,"[128, 253, 212]"
Longsleeve,Eval,1.0,0.9632392115077251,"[255, 235, 246]"
Longsleeve,Eval,0.4409263934540394,0.3917288914417002,"[67, 138, 129]"
Longsleeve,Eval,0.8280988818256811,0.09219457013574661,"[45, 109, 98]"
Longsleeve,Eval,0.573305387008561,0.4418016194331984,"[249, 213, 239]"
Longsleeve,Eval,0.521947681764726,0.5,"[106, 130, 62]"
Longsleeve,Eval,0.5201738636528997,0.470703125,"[150, 96, 148]"
Trousers,Train,0.43871531286099646,0.43284493284493286,"[255, 251, 254]"
Trousers,Train,0.9970441770626284,0.9448476052249637,"[102, 99, 102]"
Trousers,Train,0.9999894029810533,0.9441565918249856,"[255, 255, 230]"
Trousers,Train,0.6824106811326448,0.28225806451612906,"[173, 255, 254]"
Trousers,Train,1.0,0.9461358313817331,"[76, 255, 107]"
Trousers,Train,0.6503851885568277,0.6317545030020013,"[206, 189, 124]"
Trousers,Train,0.4802773365702024,0.48484848484848486,"[225, 230, 218]"
Trousers,Train,0.5070041220326494,0.5067369654364382,"[96, 60, 65]"
Trousers,Train,0.5406536307781564,0.4956772334293948,"[97, 61, 66]"
Trousers,Train,1.0,0.9418604651162791,"[212, 133, 255]"
Trousers,Train,0.9991259886092274,0.9615160349854227,"[104, 65, 71]"
Trousers,Train,0.5594822154517843,0.5522807017543859,"[254, 253, 253]"
Trousers,Train,0.5749976828932784,0.5651658767772512,"[185, 174, 173]"
Trousers,Train,0.6208309106201301,0.29016120066703727,"[188, 213, 205]"
Trousers,Train,0.6099619871601748,0.6011777301927195,"[218, 163, 218]"
Trousers,Train,0.7679274297927949,0.6898364485981309,"[242, 255, 242]"
Trousers,Train,0.5613158808127611,0.5641741071428571,"[188, 255, 244]"
Trousers,Train,0.5324635920919639,0.5242316784869976,"[109, 104, 100]"
Trousers,Train,0.5733359736731414,0.542572463768116,"[83, 77, 33]"
Trousers,Train,0.4596877233975368,0.45406626506024095,"[247, 212, 237]"
Trousers,Train,0.48268702535110636,0.47305728871242203,"[145, 182, 155]"
Trousers,Train,1.0,0.973919523099851,"[238, 230, 231]"
Trousers,Train,0.6043027384689721,0.5902358749314317,"[217, 214, 223]"
Trousers,Train,0.7466954934555162,0.6475270039795338,"[235, 223, 227]"
Trousers,Train,0.5257505938176771,0.5328317373461012,"[168, 180, 148]"
Trousers,Train,0.9991757824273445,0.940625,"[221, 255, 255]"
Trousers,Train,0.5235108137008053,0.4948328267477204,"[250, 248, 249]"
Trousers,Train,0.9996106950069372,0.9525205158264948,"[219, 254, 251]"
Trousers,Train,0.6664347325118815,0.6162790697674418,"[108, 101, 101]"
Trousers,Train,0.9997096864962177,0.9566955363091273,"[212, 255, 240]"
Trousers,Train,1.0,0.9715380405035577,"[200, 227, 219]"
Trousers,Train,0.9990626501456594,0.9581673306772909,"[96, 95, 95]"
Trousers,Train,1.0,0.9503401360544218,"[112, 154, 89]"
Trousers,Train,0.5234508096559666,0.508761329305136,"[232, 250, 233]"
Trousers,Train,0.628043941611501,0.625278810408922,"[195, 122, 255]"
Trousers,Train,0.9993161639787898,0.9756722151088348,"[185, 198, 163]"
Trousers,Train,1.0,0.9489795918367347,"[180, 255, 255]"
Trousers,Train,0.9959869573175594,0.9737516005121639,"[188, 158, 147]"
Trousers,Train,0.9960635464120116,0.974375400384369,"[188, 158, 147]"
Trousers,Train,0.99984613551468,0.9852558542931483,"[163, 128, 164]"
Trousers,Train,0.6016271037274027,0.5751748251748252,"[100, 67, 176]"
Trousers,Train,0.5661183608386503,0.5382185723310171,"[106, 255, 253]"
Trousers,Train,0.43624687270833334,0.4293026231605886,"[140, 44, 78]"
Trousers,Train,0.5594008670413267,0.5464285714285714,"[234, 251, 234]"
Trousers,Train,0.571917603843058,0.5071387778412336,"[255, 240, 211]"
Trousers,Train,0.47864338108673943,0.4671734623358673,"[71, 73, 146]"
Trousers,Train,1.0,0.942442173211404,"[211, 208, 255]"
Trousers,Train,0.9962627066048991,0.9903917220990391,"[102, 99, 102]"
Trousers,Train,0.6254576596743335,0.5213803450862715,"[252, 217, 243]"
Trousers,Train,0.9991885058531962,0.9552941176470588,"[219, 254, 251]"
Trousers,Train,0.6519873636016406,0.6114130434782609,"[201, 198, 255]"
Trousers,Train,0.5508912291284662,0.5465465465465466,"[237, 237, 255]"
Trousers,Train,0.48193493320021463,0.49318624269954575,"[168, 179, 148]"
Trousers,Train,0.9999771799125818,0.9678628816282807,"[229, 172, 229]"
Trousers,Train,1.0,0.9704301075268817,"[212, 255, 240]"
Trousers,Train,0.5968676892249586,0.48475222363405335,"[108, 255, 254]"
Trousers,Train,0.4846894954384418,0.46657081236520487,"[217, 163, 177]"
Trousers,Train,0.5298881811899009,0.5038975501113586,"[173, 194, 194]"
