Model,Total | SR,Total | IoU,Total | Last_SR,Total | NC,Total | NI,Canon-Longsleeve | IoU,Dress | IoU,Longsleeve | IoU,Skirt | IoU,Trousers | IoU,Canon-Longsleeve | Last_SR,Dress | Last_SR,Longsleeve | Last_SR,Skirt | Last_SR,Trousers | Last_SR,Canon-Longsleeve | NC,Dress | NC,Longsleeve | NC,Skirt | NC,Trousers | NC,Canon-Longsleeve | NI,Dress | NI,Longsleeve | NI,Skirt | NI,Trousers | NI,Canon-Longsleeve | SR,Dress | SR,Longsleeve | SR,Skirt | SR,Trousers | SR
[all_sim] v125_hindsight,0.7,0.7430266666666667,0.5066666666666666,0.8913933333333333,0.7579273333333334,0.6851033333333334,0.79556,0.6883366666666666,0.8070966666666667,0.7390366666666668,0.4,0.7,0.3,0.6333333333333333,0.5,0.8493566666666668,0.9350333333333332,0.8874733333333332,0.9158899999999999,0.8692133333333333,0.67833,0.8456866666666667,0.7578866666666667,0.8040966666666668,0.7036366666666667,0.5333333333333333,0.8333333333333334,0.5666666666666667,0.9,0.6666666666666666
[all_sim] v109_hindsight,0.6933333333333334,0.7421473333333333,0.26,0.9026246666666665,0.7774620000000001,0.6900466666666667,0.7971966666666667,0.6978299999999998,0.8102033333333334,0.7154600000000001,0.2,0.43333333333333335,0.13333333333333333,0.36666666666666664,0.16666666666666666,0.8717100000000001,0.9374699999999999,0.8955099999999999,0.9387166666666668,0.8697166666666667,0.7254966666666667,0.8482466666666667,0.7581766666666668,0.8583733333333331,0.6970166666666667,0.5,0.8333333333333334,0.6,0.9,0.6333333333333333
[all_sim] v141_hindsight,0.688888888888889,0.7393659259259259,0.5740740740740741,0.881995925925926,0.7474777777777777,0.6695066666666666,0.8188111111111112,0.7297799999999999,,,0.43333333333333335,0.8888888888888888,0.4,,,0.8327100000000001,0.9171444444444445,0.8961333333333332,,,0.6445366666666665,0.8327333333333332,0.7651633333333333,,,0.4666666666666667,1.0,0.6,,
[mix] v138_hindsight,0.68,0.7442273333333332,0.5066666666666666,0.8861186666666667,0.7410633333333333,0.6766933333333334,0.7932566666666665,0.6951366666666666,0.8184966666666665,0.7375533333333333,0.26666666666666666,0.7,0.3,0.7666666666666667,0.5,0.8323533333333335,0.9307633333333333,0.8875433333333334,0.9150933333333334,0.8648399999999998,0.6272666666666666,0.8463466666666667,0.7457100000000001,0.80144,0.6845533333333333,0.3,0.9,0.5,1.0,0.7
[all_sim] v113_hindsight,0.6733333333333333,0.7441766666666666,0.36,0.9041626666666666,0.7900773333333333,0.70705,0.77313,0.6960766666666667,0.8035066666666667,0.7411200000000001,0.36666666666666664,0.4666666666666667,0.13333333333333333,0.5333333333333333,0.3,0.8941433333333333,0.9168766666666666,0.8978833333333333,0.9270766666666665,0.8848333333333331,0.7681899999999999,0.8343966666666667,0.7814533333333333,0.8327966666666667,0.7335499999999998,0.5666666666666667,0.6666666666666666,0.6,0.8666666666666667,0.6666666666666666
[mix] v140_hindsight,0.6733333333333333,0.7306593333333333,0.48666666666666664,0.8713093333333333,0.7079513333333335,0.6561866666666666,0.7841233333333334,0.6928799999999999,0.8044633333333333,0.7156433333333333,0.23333333333333334,0.5,0.4,0.7666666666666667,0.5333333333333333,0.8115233333333334,0.9320633333333332,0.8727333333333334,0.9037466666666668,0.83648,0.5742766666666667,0.8461633333333334,0.7249766666666666,0.7761433333333334,0.6181966666666667,0.3333333333333333,0.9,0.6,0.9,0.6333333333333333
[all_sim] v108,0.6733333333333333,0.7214606666666666,0.5466666666666666,0.8657933333333332,0.6992053333333332,0.6772466666666668,0.7852233333333332,0.7471333333333333,0.7582933333333334,0.6394066666666666,0.4,0.6666666666666666,0.6333333333333333,0.7,0.3333333333333333,0.82126,0.9148666666666666,0.9067766666666665,0.8764833333333334,0.8095800000000001,0.6067666666666667,0.8012533333333335,0.7883466666666664,0.7229733333333335,0.5766866666666666,0.4666666666666667,0.8333333333333334,0.7333333333333333,0.8666666666666667,0.4666666666666667
[all_sim] v140_hindsight,0.6666666666666667,0.7373019999999999,0.47999999999999987,0.8757313333333332,0.7183633333333334,0.6556499999999998,0.7750066666666666,0.7432233333333333,0.7935200000000002,0.7191100000000001,0.3,0.6,0.4,0.6666666666666666,0.43333333333333335,0.8137766666666667,0.9128799999999999,0.9027200000000001,0.9064166666666665,0.8428633333333333,0.5898666666666669,0.8075233333333334,0.7734966666666667,0.7815233333333332,0.6394066666666666,0.4,0.7666666666666667,0.7,0.8666666666666667,0.6
[mix] v141_hindsight,0.6666666666666667,0.735074,0.49333333333333335,0.8761620000000001,0.7138253333333333,0.65753,0.79756,0.7021266666666667,0.80213,0.7160233333333333,0.26666666666666666,0.7,0.36666666666666664,0.7666666666666667,0.36666666666666664,0.803646666666667,0.9385966666666666,0.8883433333333334,0.91244,0.8377833333333332,0.5585833333333333,0.8561766666666666,0.7341500000000001,0.7962533333333333,0.6239633333333331,0.36666666666666664,0.8666666666666667,0.6,0.9,0.6
[mix] v145_hindsight,0.6666666666666667,0.74093,0.5,0.8897833333333335,0.7443486666666665,0.67137,0.78622,0.7210833333333333,0.8036566666666666,0.7223200000000001,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6333333333333333,0.5333333333333333,0.8371433333333335,0.9288966666666667,0.9003166666666665,0.9079900000000001,0.8745700000000001,0.6193299999999999,0.8325766666666666,0.7749166666666667,0.7864733333333335,0.7084466666666668,0.4,0.8,0.5666666666666667,0.9333333333333333,0.6333333333333333
